Device            : acmefx500bga441
Package           : BGA441
Date              : Tue Jan 14 09:02:11 2025
Rev               : 1.0

Pin     Pin Name                  Memory Byte Group   Bank  VCCAUX Group  Super Logic Region  I/O Type
E11     IO_L79N_B0                NA                  0     NA            NA                  HSTL
E12     IO_L80P_B0                NA                  0     NA            NA                  HSTL
E13     IO_L81N_B0                NA                  0     NA            NA                  HSTL
E14     IO_L82P_B0                NA                  0     NA            NA                  HSTL
E15     IO_L83N_B0                NA                  0     NA            NA                  HSTL
E16     IO_L84P_B0                NA                  0     NA            NA                  HSTL
E17     IO_L85N_B0                NA                  0     NA            NA                  HSTL
E18     IO_L86P_B0                NA                  0     NA            NA                  HSTL
E19     IO_L87N_B0                NA                  0     NA            NA                  HSTL
E20     IO_L88P_B0                NA                  0     NA            NA                  HSTL
E21     IO_L89N_B0                NA                  0     NA            NA                  HSTL
F1      VREF_SENSE                NA                  NA    NA            NA                  POWER
F2      IO_L90P_B0                NA                  0     NA            NA                  HSTL
F3      IO_L91N_B0                NA                  0     NA            NA                  HSTL
F4      IO_L92P_B0                NA                  0     NA            NA                  HSTL
F5      IO_L93N_B0                NA                  0     NA            NA                  HSTL
F6      IO_L94P_B0                NA                  0     NA            NA                  HSTL
F7      IO_L95N_B0                NA                  0     NA            NA                  HSTL
F8      IO_L96P_B0                NA                  0     NA            NA                  HSTL
F9      IO_L97N_B0                NA                  0     NA            NA                  HSTL
F10     IO_L98P_B0                NA                  0     NA            NA                  HSTL
F11     GND                       NA                  NA    NA            NA                  GND
F12     IO_L99N_B0                NA                  0     NA            NA                  HSTL
F13     IO_L100P_B0               NA                  0     NA            NA                  HSTL
F14     IO_L101N_B0               NA                  0     NA            NA                  HSTL
F15     IO_L102P_B0               NA                  0     NA            NA                  HSTL
F16     IO_L103N_B0               NA                  0     NA            NA                  HSTL
F17     IO_L104P_B0               NA                  0     NA            NA                  HSTL
F18     IO_L105N_B0               NA                  0     NA            NA                  HSTL
F19     IO_L106P_B0               NA                  0     NA            NA                  HSTL
F20     IO_L107N_B0               NA                  0     NA            NA                  HSTL
F21     IO_L108P_B0               NA                  0     NA            NA                  HSTL
G1      VCCO_1                    NA                  1     NA            NA                  POWER
G2      VCCO_1                    NA                  1     NA            NA                  POWER
G3      VCCO_1                    NA                  1     NA            NA                  POWER
G4      IO_L0P_B1                 NA                  1     NA            NA                  LVCMOS
G5      IO_L1N_B1                 NA                  1     NA            NA                  LVCMOS
G6      IO_L2P_B1                 NA                  1     NA            NA                  LVCMOS
G7      VCC_CORE                  NA                  NA    NA            NA                  POWER
G8      GND                       NA                  NA    NA            NA                  GND
G9      VCC_CORE                  NA                  NA    NA            NA                  POWER
G10     GND                       NA                  NA    NA            NA                  GND
G11     VCC_CORE                  NA                  NA    NA            NA                  POWER
G12     GND                       NA                  NA    NA            NA                  GND
G13     VCC_CORE                  NA                  NA    NA            NA                  POWER
G14     GND                       NA                  NA    NA            NA                  GND
G15     VCC_CORE                  NA                  NA    NA            NA                  POWER
G16     VCCO_3                    NA                  3     NA            NA                  POWER
G17     VCCO_3                    NA                  3     NA            NA                  POWER
G18     VCCO_3                    NA                  3     NA            NA                  POWER
G19     GND                       NA                  NA    NA            NA                  GND
G20     IO_L0P_B3                 NA                  3     NA            NA                  LVCMOS
G21     IO_L1N_B3                 NA                  3     NA            NA                  LVCMOS
H1      IO_L3N_B1                 NA                  1     NA            NA                  LVCMOS
H2      IO_L4P_B1                 NA                  1     NA            NA                  LVCMOS
H3      IO_L5N_B1                 NA                  1     NA            NA                  LVCMOS
H4      IO_L6P_B1                 NA                  1     NA            NA                  LVCMOS
H5      IO_L7N_B1                 NA                  1     NA            NA                  LVCMOS
H6      IO_L8P_B1                 NA                  1     NA            NA                  LVCMOS
H7      GND                       NA                  NA    NA            NA                  GND
H8      VCC_CORE                  NA                  NA    NA            NA                  POWER
H9      GND                       NA                  NA    NA            NA                  GND
H10     VCC_CORE                  NA                  NA    NA            NA                  POWER
H11     GND                       NA                  NA    NA            NA                  GND
H12     VCC_CORE                  NA                  NA    NA            NA                  POWER
H13     GND                       NA                  NA    NA            NA                  GND
H14     VCC_CORE                  NA                  NA    NA            NA                  POWER
H15     GND                       NA                  NA    NA            NA                  GND
H16     IO_L2P_B3                 NA                  3     NA            NA                  LVCMOS
H17     IO_L3N_B3                 NA                  3     NA            NA                  LVCMOS
H18     IO_L4P_B3                 NA                  3     NA            NA                  LVCMOS
H19     IO_L5N_B3                 NA                  3     NA            NA                  LVCMOS
H20     IO_L6P_B3                 NA                  3     NA            NA                  LVCMOS
H21     IO_L7N_B3                 NA                  3     NA            NA                  LVCMOS
J1      IO_L9N_B1                 NA                  1     NA            NA                  LVCMOS
J2      IO_L10P_B1                NA                  1     NA            NA                  LVCMOS
J3      IO_L11N_B1                NA                  1     NA            NA                  LVCMOS
J4      IO_L12P_B1                NA                  1     NA            NA                  LVCMOS
J5      IO_L13N_B1                NA                  1     NA            NA                  LVCMOS
J6      GND                       NA                  NA    NA            NA                  GND
J7      VCC_CORE                  NA                  NA    NA            NA                  POWER
J8      GND                       NA                  NA    NA            NA                  GND
J9      VCC_CORE                  NA                  NA    NA            NA                  POWER
J10     GND                       NA                  NA    NA            NA                  GND
J11     VCC_CORE                  NA                  NA    NA            NA                  POWER
J12     GND                       NA                  NA    NA            NA                  GND
J13     VCC_CORE                  NA                  NA    NA            NA                  POWER
J14     GND                       NA                  NA    NA            NA                  GND
J15     VCC_CORE                  NA                  NA    NA            NA                  POWER
J16     IO_L8P_B3                 NA                  3     NA            NA                  LVCMOS
J17     IO_L9N_B3                 NA                  3     NA            NA                  LVCMOS
J18     IO_L10P_B3                NA                  3     NA            NA                  LVCMOS
J19     IO_L11N_B3                NA                  3     NA            NA                  LVCMOS
J20     IO_L12P_B3                NA                  3     NA            NA                  LVCMOS
J21     IO_L13N_B3                NA                  3     NA            NA                  LVCMOS
K1      IO_L14P_B1                NA                  1     NA            NA                  LVCMOS
K2      IO_L15N_B1                NA                  1     NA            NA                  LVCMOS
K3      IO_L16P_B1                NA                  1     NA            NA                  LVCMOS
K4      IO_L17N_B1                NA                  1     NA            NA                  LVCMOS
K5      IO_L18P_B1                NA                  1     NA            NA                  LVCMOS
K6      IO_L19N_B1                NA                  1     NA            NA                  LVCMOS
K7      GND                       NA                  NA    NA            NA                  GND
K8      VCC_CORE                  NA                  NA    NA            NA                  POWER
K9      GND                       NA                  NA    NA            NA                  GND
K10     VCC_CORE                  NA                  NA    NA            NA                  POWER
K11     GND                       NA                  NA    NA            NA                  GND
K12     VCC_CORE                  NA                  NA    NA            NA                  POWER
K13     GND                       NA                  NA    NA            NA                  GND
K14     VCC_CORE                  NA                  NA    NA            NA                  POWER
K15     GND                       NA                  NA    NA            NA                  GND
K16     IO_L14P_B3                NA                  3     NA            NA                  LVCMOS
K17     IO_L15N_B3                NA                  3     NA            NA                  LVCMOS
K18     IO_L16P_B3                NA                  3     NA            NA                  LVCMOS
K19     IO_L17N_B3                NA                  3     NA            NA                  LVCMOS
K20     IO_L18P_B3                NA                  3     NA            NA                  LVCMOS
K21     IO_L19N_B3                NA                  3     NA            NA                  LVCMOS
L1      IO_L20P_B1                NA                  1     NA            NA                  LVCMOS
L2      VCC_BATT                  NA                  NA    NA            NA                  POWER
L3      IO_L21N_B1                NA                  1     NA            NA                  LVCMOS
L4      IO_L22P_B1                NA                  1     NA            NA                  LVCMOS
L5      IO_L23N_B1                NA                  1     NA            NA                  LVCMOS
L6      IO_L24P_B1                NA                  1     NA            NA                  LVCMOS
L7      VCC_CORE                  NA                  NA    NA            NA                  POWER
L8      GND                       NA                  NA    NA            NA                  GND
L9      VCC_CORE                  NA                  NA    NA            NA                  POWER
L10     GND                       NA                  NA    NA            NA                  GND
L11     VCC_CORE                  NA                  NA    NA            NA                  POWER
L12     GND                       NA                  NA    NA            NA                  GND
L13     VCC_CORE                  NA                  NA    NA            NA                  POWER
L14     GND                       NA                  NA    NA            NA                  GND
L15     VCC_CORE                  NA                  NA    NA            NA                  POWER
L16     IO_L20P_B3                NA                  3     NA            NA                  LVCMOS
L17     IO_L21N_B3                NA                  3     NA            NA                  LVCMOS
L18     IO_L22P_B3                NA                  3     NA            NA                  LVCMOS
L19     IO_L23N_B3                NA                  3     NA            NA                  LVCMOS
L20     IO_L24P_B3                NA                  3     NA            NA                  LVCMOS
L21     IO_L25N_B3                NA                  3     NA            NA                  LVCMOS
M1      GND                       NA                  NA    NA            NA                  GND
M2      IO_L25N_B1                NA                  1     NA            NA                  LVCMOS
M3      IO_L26P_B1                NA                  1     NA            NA                  LVCMOS
M4      IO_L27N_B1                NA                  1     NA            NA                  LVCMOS
M5      IO_L28P_B1                NA                  1     NA            NA                  LVCMOS
M6      IO_L29N_B1                NA                  1     NA            NA                  LVCMOS
M7      GND                       NA                  NA    NA            NA                  GND
M8      VCC_CORE                  NA                  NA    NA            NA                  POWER
M9      GND                       NA                  NA    NA            NA                  GND
M10     VCC_CORE                  NA                  NA    NA            NA                  POWER
M11     GND                       NA                  NA    NA            NA                  GND
M12     VCC_CORE                  NA                  NA    NA            NA                  POWER
M13     GND                       NA                  NA    NA            NA                  GND
M14     VCC_CORE                  NA                  NA    NA            NA                  POWER
M15     GND                       NA                  NA    NA            NA                  GND
M16     IO_L26P_B3                NA                  3     NA            NA                  LVCMOS
M17     IO_L27N_B3                NA                  3     NA            NA                  LVCMOS
M18     IO_L28P_B3                NA                  3     NA            NA                  LVCMOS
M19     IO_L29N_B3                NA                  3     NA            NA                  LVCMOS
M20     IO_L30P_B3                NA                  3     NA            NA                  LVCMOS
M21     IO_L31N_B3                NA                  3     NA            NA                  LVCMOS
N1      IO_L30P_B1                NA                  1     NA            NA                  LVCMOS
N2      IO_L31N_B1                NA                  1     NA            NA                  LVCMOS
N3      IO_L32P_B1                NA                  1     NA            NA                  LVCMOS
N4      IO_L33N_B1                NA                  1     NA            NA                  LVCMOS
N5      IO_L34P_B1                NA                  1     NA            NA                  LVCMOS
N6      IO_L35N_B1                NA                  1     NA            NA                  LVCMOS
N7      VCC_CORE                  NA                  NA    NA            NA                  POWER
N8      GND                       NA                  NA    NA            NA                  GND
N9      VCC_CORE                  NA                  NA    NA            NA                  POWER
N10     GND                       NA                  NA    NA            NA                  GND
N11     VCC_CORE                  NA                  NA    NA            NA                  POWER
N12     GND                       NA                  NA    NA            NA                  GND
N13     VCC_CORE                  NA                  NA    NA            NA                  POWER
N14     GND                       NA                  NA    NA            NA                  GND
N15     VCC_CORE                  NA                  NA    NA            NA                  POWER
N16     IO_L32P_B3                NA                  3     NA            NA                  LVCMOS
N17     IO_L33N_B3                NA                  3     NA            NA                  LVCMOS
N18     IO_L34P_B3                NA                  3     NA            NA                  LVCMOS
N19     IO_L35N_B3                NA                  3     NA            NA                  LVCMOS
N20     IO_L36P_B3                NA                  3     NA            NA                  LVCMOS
N21     IO_L37N_B3                NA                  3     NA            NA                  LVCMOS
P1      IO_L36P_B1                NA                  1     NA            NA                  LVCMOS
P2      IO_L37N_B1                NA                  1     NA            NA                  LVCMOS
P3      IO_L38P_B1                NA                  1     NA            NA                  LVCMOS
P4      IO_L39N_B1                NA                  1     NA            NA                  LVCMOS
P5      IO_L40P_B1                NA                  1     NA            NA                  LVCMOS
P6      IO_L41N_B1                NA                  1     NA            NA                  LVCMOS
P7      GND                       NA                  NA    NA            NA                  GND
P8      VCC_CORE                  NA                  NA    NA            NA                  POWER
P9      GND                       NA                  NA    NA            NA                  GND
P10     VCC_CORE                  NA                  NA    NA            NA                  POWER
P11     GND                       NA                  NA    NA            NA                  GND
P12     VCC_CORE                  NA                  NA    NA            NA                  POWER
P13     GND                       NA                  NA    NA            NA                  GND
P14     VCC_CORE                  NA                  NA    NA            NA                  POWER
P15     GND                       NA                  NA    NA            NA                  GND
P16     IO_L38P_B3                NA                  3     NA            NA                  LVCMOS
P17     GND                       NA                  NA    NA            NA                  GND
P18     IO_L39N_B3                NA                  3     NA            NA                  LVCMOS
P19     IO_L40P_B3                NA                  3     NA            NA                  LVCMOS
P20     IO_L41N_B3                NA                  3     NA            NA                  LVCMOS
P21     IO_L42P_B3                NA                  3     NA            NA                  LVCMOS
R1      IO_L42P_B1                NA                  1     NA            NA                  LVCMOS
R2      IO_L43N_B1                NA                  1     NA            NA                  LVCMOS
R3      IO_L44P_B1                NA                  1     NA            NA                  LVCMOS
R4      IO_L45N_B1                NA                  1     NA            NA                  LVCMOS
R5      IO_L46P_B1                NA                  1     NA            NA                  LVCMOS
R6      IO_L47N_B1                NA                  1     NA            NA                  LVCMOS
R7      VCC_CORE                  NA                  NA    NA            NA                  POWER
R8      GND                       NA                  NA    NA            NA                  GND
R9      VCC_CORE                  NA                  NA    NA            NA                  POWER
R10     GND                       NA                  NA    NA            NA                  GND
R11     VCC_CORE                  NA                  NA    NA            NA                  POWER
R12     GND                       NA                  NA    NA            NA                  GND
R13     VCC_CORE                  NA                  NA    NA            NA                  POWER
R14     GND                       NA                  NA    NA            NA                  GND
R15     VCC_CORE                  NA                  NA    NA            NA                  POWER
R16     IO_L43N_B3                NA                  3     NA            NA                  LVCMOS
R17     IO_L44P_B3                NA                  3     NA            NA                  LVCMOS
R18     IO_L45N_B3                NA                  3     NA            NA                  LVCMOS
R19     IO_L46P_B3                NA                  3     NA            NA                  LVCMOS
R20     IO_L47N_B3                NA                  3     NA            NA                  LVCMOS
R21     IO_L48P_B3                NA                  3     NA            NA                  LVCMOS
T1      VCCO_2                    NA                  2     NA            NA                  POWER
T2      VCCO_2                    NA                  2     NA            NA                  POWER
T3      VCCO_2                    NA                  2     NA            NA                  POWER
T4      GND                       NA                  NA    NA            NA                  GND
T5      IO_L0P_B2                 NA                  2     NA            NA                  HSTL
T6      IO_L1N_B2                 NA                  2     NA            NA                  HSTL
T7      IO_L2P_B2                 NA                  2     NA            NA                  HSTL
T8      IO_L3N_B2                 NA                  2     NA            NA                  HSTL
T9      IO_L4P_B2                 NA                  2     NA            NA                  HSTL
T10     IO_L5N_B2                 NA                  2     NA            NA                  HSTL
T11     IO_L6P_B2                 NA                  2     NA            NA                  HSTL
T12     IO_L7N_B2                 NA                  2     NA            NA                  HSTL
T13     IO_L8P_B2                 NA                  2     NA            NA                  HSTL
T14     IO_L9N_B2                 NA                  2     NA            NA                  HSTL
T15     IO_L10P_B2                NA                  2     NA            NA                  HSTL
T16     IO_L11N_B2                NA                  2     NA            NA                  HSTL
T17     IO_L12P_B2                NA                  2     NA            NA                  HSTL
T18     IO_L13N_B2                NA                  2     NA            NA                  HSTL
T19     IO_L14P_B2                NA                  2     NA            NA                  HSTL
T20     IO_L15N_B2                NA                  2     NA            NA                  HSTL
T21     IO_L16P_B2                NA                  2     NA            NA                  HSTL
U1      IO_L17N_B2                NA                  2     NA            NA                  HSTL
U2      IO_L18P_B2                NA                  2     NA            NA                  HSTL
U3      IO_L19N_B2                NA                  2     NA            NA                  HSTL
U4      IO_L20P_B2                NA                  2     NA            NA                  HSTL
U5      IO_L21N_B2                NA                  2     NA            NA                  HSTL
U6      IO_L22P_B2                NA                  2     NA            NA                  HSTL
U7      IO_L23N_B2                NA                  2     NA            NA                  HSTL
U8      IO_L24P_B2                NA                  2     NA            NA                  HSTL
U9      IO_L25N_B2                NA                  2     NA            NA                  HSTL
U10     IO_L26P_B2                NA                  2     NA            NA                  HSTL
U11     IO_L27N_B2                NA                  2     NA            NA                  HSTL
U12     GND                       NA                  NA    NA            NA                  GND
U13     IO_L28P_B2                NA                  2     NA            NA                  HSTL
U14     IO_L29N_B2                NA                  2     NA            NA                  HSTL
U15     IO_L30P_B2                NA                  2     NA            NA                  HSTL
U16     IO_L31N_B2                NA                  2     NA            NA                  HSTL
U17     IO_L32P_B2                NA                  2     NA            NA                  HSTL
U18     IO_L33N_B2                NA                  2     NA            NA                  HSTL
U19     IO_L34P_B2                NA                  2     NA            NA                  HSTL
U20     IO_L35N_B2                NA                  2     NA            NA                  HSTL
U21     IO_L36P_B2                NA                  2     NA            NA                  HSTL
V1      IO_L37N_B2                NA                  2     NA            NA                  HSTL
V2      IO_L38P_B2                NA                  2     NA            NA                  HSTL
V3      IO_L39N_B2                NA                  2     NA            NA                  HSTL
V4      IO_L40P_B2                NA                  2     NA            NA                  HSTL
V5      IO_L41N_B2                NA                  2     NA            NA                  HSTL
V6      IO_L42P_B2                NA                  2     NA            NA                  HSTL
V7      IO_L43N_B2                NA                  2     NA            NA                  HSTL
V8      IO_L44P_B2                NA                  2     NA            NA                  HSTL
V9      IO_L45N_B2                NA                  2     NA            NA                  HSTL
V10     IO_L46P_B2                NA                  2     NA            NA                  HSTL
V11     IO_L47N_B2                NA                  2     NA            NA                  HSTL
V12     IO_L48P_B2                NA                  2     NA            NA                  HSTL
V13     IO_L49N_B2                NA                  2     NA            NA                  HSTL
V14     IO_L50P_B2                NA                  2     NA            NA                  HSTL
V15     IO_L51N_B2                NA                  2     NA            NA                  HSTL
V16     IO_L52P_B2                NA                  2     NA            NA                  HSTL
V17     IO_L53N_B2                NA                  2     NA            NA                  HSTL
V18     IO_L54P_B2                NA                  2     NA            NA                  HSTL
V19     IO_L55N_B2                NA                  2     NA            NA                  HSTL
V20     IO_L56P_B2                NA                  2     NA            NA                  HSTL
V21     IO_L57N_B2                NA                  2     NA            NA                  HSTL
W1      IO_L58P_B2                NA                  2     NA            NA                  HSTL
W2      IO_L59N_B2                NA                  2     NA            NA                  HSTL
W3      IO_L60P_B2                NA                  2     NA            NA                  HSTL
W4      IO_L61N_B2                NA                  2     NA            NA                  HSTL
W5      IO_L62P_B2                NA                  2     NA            NA                  HSTL
W6      IO_L63N_B2                NA                  2     NA            NA                  HSTL
W7      IO_L64P_B2                NA                  2     NA            NA                  HSTL
W8      IO_L65N_B2                NA                  2     NA            NA                  HSTL
W9      IO_L66P_B2                NA                  2     NA            NA                  HSTL
W10     IO_L67N_B2                NA                  2     NA            NA                  HSTL
W11     IO_L68P_B2                NA                  2     NA            NA                  HSTL
W12     IO_L69N_B2                NA                  2     NA            NA                  HSTL
W13     IO_L70P_B2                NA                  2     NA            NA                  HSTL
W14     IO_L71N_B2                NA                  2     NA            NA                  HSTL
W15     IO_L72P_B2                NA                  2     NA            NA                  HSTL
W16     IO_L73N_B2                NA                  2     NA            NA                  HSTL
W17     IO_L74P_B2                NA                  2     NA            NA                  HSTL
W18     IO_L75N_B2                NA                  2     NA            NA                  HSTL
W19     IO_L76P_B2                NA                  2     NA            NA                  HSTL
W20     IO_L77N_B2                NA                  2     NA            NA                  HSTL
W21     IO_L78P_B2                NA                  2     NA            NA                  HSTL
Y1      NC                        NA                  NA    NA            NA                  NC
Y2      NC                        NA                  NA    NA            NA                  NC
Y3      IO_L79N_B2                NA                  2     NA            NA                  HSTL
Y4      IO_L80P_B2                NA                  2     NA            NA                  HSTL
Y5      IO_L81N_B2                NA                  2     NA            NA                  HSTL
Y6      IO_L82P_B2                NA                  2     NA            NA                  HSTL
Y7      IO_L83N_B2                NA                  2     NA            NA                  HSTL
Y8      IO_L84P_B2                NA                  2     NA            NA                  HSTL
Y9      IO_L85N_B2                NA                  2     NA            NA                  HSTL
Y10     IO_L86P_B2                NA                  2     NA            NA                  HSTL
Y11     IO_L87N_B2                NA                  2     NA            NA                  HSTL
Y12     IO_L88P_B2                NA                  2     NA            NA                  HSTL
Y13     IO_L89N_B2                NA                  2     NA            NA                  HSTL
Y14     IO_L90P_B2                NA                  2     NA            NA                  HSTL
Y15     IO_L91N_B2                NA                  2     NA            NA                  HSTL
Y16     IO_L92P_B2                NA                  2     NA            NA                  HSTL
Y17     IO_L93N_B2                NA                  2     NA            NA                  HSTL
Y18     IO_L94P_B2                NA                  2     NA            NA                  HSTL
Y19     IO_L95N_B2                NA                  2     NA            NA                  HSTL
Y20     NC                        NA                  NA    NA            NA                  NC
Y21     NC                        NA                  NA    NA            NA                  NC
AA1     NC                        NA                  NA    NA            NA                  NC
AA2     NC                        NA                  NA    NA            NA                  NC
AA3     IO_L96P_B2                NA                  2     NA            NA                  HSTL
AA4     IO_L97N_B2                NA                  2     NA            NA                  HSTL
AA5     IO_L98P_B2                NA                  2     NA            NA                  HSTL
AA6     IO_L99N_B2                NA                  2     NA            NA                  HSTL
AA7     IO_L100P_B2               NA                  2     NA            NA                  HSTL
AA8     IO_L101N_B2               NA                  2     NA            NA                  HSTL
AA9     IO_L102P_B2               NA                  2     NA            NA                  HSTL
AA10    IO_L103N_B2               NA                  2     NA            NA                  HSTL
AA11    IO_L104P_B2               NA                  2     NA            NA                  HSTL
AA12    IO_L105N_B2               NA                  2     NA            NA                  HSTL
AA13    IO_L106P_B2               NA                  2     NA            NA                  HSTL
AA14    IO_L107N_B2               NA                  2     NA            NA                  HSTL
AA15    IO_L108P_B2               NA                  2     NA            NA                  HSTL
AA16    IO_L109N_B2               NA                  2     NA            NA                  HSTL
AA17    IO_L110P_B2               NA                  2     NA            NA                  HSTL
AA18    IO_L111N_B2               NA                  2     NA            NA                  HSTL
AA19    IO_L112P_B2               NA                  2     NA            NA                  HSTL
AA20    NC                        NA                  NA    NA            NA                  NC
AA21    NC                        NA                  NA    NA            NA                  NC

Total Number of Pins: 441
