rule_id,domain,severity,name,description,jitx_coverage_status,responsible_skill,introspection_api_needed,gap_notes
PWR_BUCK_002,Power,Major,Buck converter input/output capacitor placement,Input and output capacitors for buck converters must be placed immediately adjacent to the IC to maintain stable operation and filter switching noise.,future-design-review,phase-3b-audit,board.placement_side(component),Caps on same side as IC - placement introspection
PWR_RATING_001,Power,Major,Inductor saturation current margin,Power inductors in SMPS circuits must have a saturation current rating significantly higher than the peak inductor current to avoid saturation and loss of inductance.,partial,references/domains/component-selection.md,,Inductor Isat >= 1.2-1.5x peak - checklist mentions but no quantitative gate
PWR_RATING_002,Power,Major,FET/Diode voltage rating margin,"Switching FETs and diodes in SMPS must have a voltage rating significantly higher than the maximum expected voltage across them (e.g., VIN for buck, VOUT for boost).",partial,references/domains/component-selection.md,,FET/diode Vds >= 1.2-1.5x max transient
PWR_COMP_001,Power,Critical,Presence of SMPS compensation network,Switching mode power supplies (SMPS) often require an external compensation network to ensure stable operation over various load and line conditions.,covered,jitx-circuit-builder,,Type II/III compensation network - covered by Power Circuit checklist
AN_OPAMP_002,Analog,Major,Op-amp stability with large capacitive loads,Driving large capacitive loads with op-amps can lead to instability (oscillation).,uncovered-authorable,references/domains/analog-mixed-signal.md,,Cap-load isolation resistor for op-amp
AN_OPAMP_003,Analog,Major,Op-amp feedback network topology,"The topology of the feedback network (e.g., inverting, non-inverting, differentiator, integrator) must be appropriate for the desired function and stability.",partial,jitx-circuit-builder,,Feedback topology matches function - datasheet compliance partial cover
AN_ADC_002,Analog,Major,ADC driver bandwidth vs sampling rate,The bandwidth of the ADC driver amplifier must be sufficient for the ADC's sampling rate and input signal characteristics to avoid signal distortion.,uncovered-authorable,references/domains/analog-mixed-signal.md,,ADC driver BW >= 3-5x Fs
AN_ADC_003,Analog,Major,ADC input RC anti-alias filters,ADC inputs typically require an RC anti-alias filter to prevent unwanted high-frequency signals from folding back into the desired frequency band (aliasing).,uncovered-authorable,references/domains/analog-mixed-signal.md,,RC anti-alias tuned to Nyquist
AN_SENSOR_001,Analog,Major,High-impedance nodes isolation,"High-impedance analog nodes (e.g., sensor inputs, op-amp inputs) are susceptible to noise coupling and leakage currents and must be properly isolated.",future-design-review,phase-3b-audit,board.guard_ring(net),High-impedance sensor guard ring
EMC_ESD_002,EMC,Major,EMI filter placement at connector boundary,"EMI filters (e.g., common-mode chokes, pi filters) should be placed as close as possible to the connector boundary to be effective.",covered,references/domains/external-interfaces.md,,EMI filter at connector boundary - ESD-or-justification table
EMC_PATH_001,EMC+Power+HighSpeed,Critical,Return paths for high di/dt currents,"High di/dt currents (e.g., from SMPS, high-speed drivers) require a direct, low-inductance return path to prevent ground bounce and EMI.",partial,references/domains/thermal-and-emc-workflow.md,board.return_path(net),"Return paths for high dI/dt - net class exists, no quantitative gate"
EMC_STITCH_001,EMC,Minor,Ground stitching near board edges and layer changes,"Ground pours on different layers should be stitched together with vias, especially along board edges and where signals change layers, to ensure a low-impedance path and contain EMI.",future-design-review,references/domains/thermal-and-emc-workflow.md,board.stitch_via_spacing(layer),Stitching vias at edges/layer transitions (rule is qualitative); <=20mm spacing is a JITX engineering default
THM_PWR_001,Thermal,Major,Power density and copper area for thermal dissipation,High power density components require adequate copper area on adjacent layers for effective heat spreading and dissipation.,uncovered-authorable,references/domains/thermal-and-emc-workflow.md,,Adequate copper area on adjacent layers for heat spreading (qualitative); the numeric area-per-watt budget is THM_PWR_002
THM_VIA_001,Thermal,Major,Thermal via arrays for heat transfer to other layers,Components with thermal pads or high heat dissipation should utilize arrays of thermal vias to transfer heat efficiently to internal copper planes or heatsinks.,future-design-review,phase-3b-audit,board.thermal_via_density(component),Thermal via 8-12/cm²
MEC_CONN_001,Mechanical,Minor,Connector mechanical reinforcement,"Connectors, especially those subjected to frequent mating/unmating cycles or external forces, require mechanical reinforcement (e.g., mounting screws, large solder pads, thru-hole pins).",uncovered-authorable,references/domains/mechanical.md,,Connector strain relief / locking tabs
DFT_FID_001,DFT+Mechanical,Major,Fiducials for pick and place alignment,PCBs must have at least 2 fiducial markers placed in opposite corners of the board for pick and place machine alignment.,uncovered-authorable,references/domains/dfm.md,,Panel fiducials >=3 L-shape - DFM authoring rule
MEC_MOUNT_001,Mechanical+DFT,Major,Mounting holes for board installation,PCBs should include mounting holes for secure installation in enclosures or systems.,uncovered-authorable,references/domains/mechanical.md,,Mounting holes >=2 (preferably >=3)
DFT_TP_002,DFT,Minor,Through-hole ground test point for oscilloscope,A dedicated through-hole ground test point should be provided for oscilloscope ground clip attachment during debugging.,uncovered-authorable,references/domains/dft.md,,Ground test point for scope reference
DFT_SILK_001,DFT,Advisory,Silkscreen area for unit identification marking,"A blank silkscreen box or area should be provided for handwritten unit identification (e.g., serial number, test notes) using a marker.",out-of-band,references/domains/dft.md,,Silkscreen area for unit ID
DFT_SILK_002,DFT,Minor,Board identification silkscreen header,"PCB silkscreen should include a company header with company name, board name, version number, and date for traceability.",out-of-band,references/domains/dft.md,,Board ID header silkscreen
DFT_POL_001,DFT,Major,Polarity marking on power connectors,Power connectors must have clear +/- polarity markings on the silkscreen to prevent reverse polarity connection.,out-of-band,references/domains/dft.md,,Power connector polarity silkscreen
DFT_CONN_LABEL_001,DFT,Minor,Connectors must have descriptive silkscreen labels,"Every connector on the PCB must have a descriptive silkscreen label indicating its function (e.g., 'USB', 'JTAG', 'MOTOR1', 'PWR IN') in addition to the standard reference designator (J1, J2, etc.). Reference designators alone do not convey purpose and slow down assembly, debugging, and field service.",out-of-band,references/domains/dft.md,,Connector function labels on silkscreen
MS_RST_001,MixedSignal,Major,Output lines must have defined state during reset,"All operational output lines (GPIOs configured as outputs, enable signals, chip selects, etc.) must have pull-up or pull-down resistors to ensure a defined, safe state during MCU/IC reset or power-up when outputs are high-impedance.",uncovered-authorable,references/domains/code-hygiene.md,,Reset pin handling
MS_I2C_001,MixedSignal+DFT,Critical,I2C bus pull-ups and test points,"I2C SDA and SCL lines require pull-up resistors for proper open-drain operation, and should have accessible test points for debugging.",covered,jitx/references/domain-checklists.md,,I2C handling - in checklist
SCH_I2C_001,Schematic+MixedSignal,Minor,I2C device address must be annotated on schematic,"Every I2C slave device on the schematic should have its 7-bit (or 10-bit) address annotated as a text note near the component symbol, including the state of any address configuration pins (A0, A1, A2).",covered,jitx/references/domain-checklists.md,,"I2C addresses annotated. JITX note: annotate the address in code (component docstring or comment), not a schematic text note"
SCH_I2C_002,Schematic+MixedSignal,Major,I2C bus must not have address conflicts,No two devices on the same I2C bus may share the same slave address. Address conflicts cause bus contention and communication failures that are difficult to diagnose.,covered,jitx/references/domain-checklists.md,,I2C address conflict check
SCH_NET_001,DFT,Critical,Cross-sheet net labels must have matching connections,Net labels used for cross-sheet references must appear on at least two sheets or locations to form a valid connection. A single orphan label indicates a likely missing connection or typo.,covered,jitx,,Cross-sheet labels - JITX type-checked
DFT_SWD_001,DFT,Critical,SWD debug interface test points for STM32,STM32 designs must include through-hole test points for SWCLK and SWDIO to enable programming and debugging access.,uncovered-authorable,references/domains/dft.md,,STM32 SWD test points
PWR_BUCK_003,Power,Major,Buck converter input capacitor must be on same layer as IC,The input capacitor for a buck converter must be placed on the same PCB surface layer as the IC pins it connects to. Placing it on the opposite side introduces via inductance that creates voltage noise.,future-design-review,phase-3b-audit,board.placement_side(component),Input cap on same layer as buck IC
PWR_BUCK_004,Power+EMC,Major,No GND plane or signal routing directly under inductor,"Ground plane wiring should not be placed immediately below power inductors because magnetic lines of force would pass through the GND layer, causing eddy currents that reduce inductor value and Q factor. Signal lines should also be avoided due to noise coupling.",future-design-review,phase-3b-audit,board.copper_under(component),No pour/routing under inductor - layout introspection
PWR_BUCK_005,Power+EMC,Minor,Switching node copper area must be minimized,"The switching node (SW) copper area should be minimized to reduce parasitic coupling capacitance to other traces. However, it must remain large enough to conduct inductor current and provide heat sinking for power MOSFETs.",future-design-review,phase-3b-audit,board.copper_area(net),Switching node copper minimized
PWR_BUCK_006,Power,Minor,Output capacitor must be separated from input capacitor,The output capacitor should be placed 1-2 cm away from the input capacitor to prevent high-frequency noise on the input from coupling to the output. The grounds of input and output capacitors should not be directly adjacent.,future-design-review,phase-3b-audit,"board.distance(component, component)",Separate input/output cap groups
PWR_DECPL_002,Power,Minor,Use distributed decoupling with multiple smaller capacitors,Multiple smaller capacitors in parallel are preferred over a single large capacitor for decoupling. Ten 10nF capacitors provide lower inductance and better high-frequency performance than one 100nF capacitor.,covered,jitx-circuit-builder,,Multiple smaller caps - circuit-builder enforces 100nF per pin + bulk per domain
PWR_DECPL_003,Power,Minor,Use via-in-pad for BGA decoupling capacitors,"For BGA packages, decoupling capacitors should use via-in-pad to maximize the number of capacitors that can be placed directly under the package and to minimize loop inductance.",future-design-review,phase-3b-audit,board.via_in_pad(component),BGA via-in-pad - needs layout introspection
PWR_DECPL_004,Power,Minor,Use smaller capacitor packages for high-frequency decoupling,"Smaller capacitor packages (0402, 0201) have lower parasitic inductance than larger packages (0805, 1206) and should be used for high-frequency decoupling applications.",uncovered-authorable,references/domains/component-selection.md,,0402/0603 over 0805 for HF - component selection guidance missing
HS_DIFF_002,HighSpeed,Critical,Differential pair traces must maintain symmetry,"Both traces of a differential pair must have identical geometry, spacing, and via placement throughout their length. Any mismatch in length, spacing, or geometry leads to skew, mode conversion, and loss of noise immunity.",covered,jitx-interconnect-constraints,,Symmetric spacing ±2-5 mils - ConstrainDiffPair handles intra-pair skew
HS_DIFF_003,HighSpeed,Critical,Via stubs must be minimized for high-speed signals above 3 Gbps,"At data rates above 3 Gbps, via stubs become a critical source of signal loss. Stub length should be shorter than one-quarter of the signal wavelength, ideally less than one-tenth.",future-design-review,phase-3b-audit,board.via_stub_length(via),Via stub <5 mils >3 Gbps
HS_DIFF_004,HighSpeed,Major,Fiber weave effect must be mitigated for high-speed differential pairs,Fiber weave in PCB substrate can introduce differential skew due to varying dielectric constants between fiberglass (εr≈6) and epoxy (εr≈3). This affects signal integrity at high speeds.,uncovered-authorable,references/domains/high-speed-si.md,,Fiber weave: specify controlled-Dk PCB - substrate material spec
HS_DIFF_005,HighSpeed+EMC,Major,High-speed traces must maintain edge clearance,High-speed traces should be kept at least 10-15 mils away from board edges and plane edges to prevent impedance variation and EMI leakage.,future-design-review,phase-3b-audit,board.distance_to_edge(net),>=10-15 mils from board/plane edges
HS_DIFF_006,HighSpeed,Minor,Prefer inner layer routing for differential pairs,Routing differential pairs on inner layers (stripline) provides better shielding from crosstalk and EMI compared to outer layer (microstrip) routing.,future-design-review,phase-3b-audit,board.layer(net),Prefer inner layers for diff pairs
EMC_ESD_003,EMC,Major,TVS diode must be placed as close as possible to connector,ESD protection TVS diodes must be placed as close as possible to the connector or ESD entry point. The trace length between the connector and TVS should be minimized to reduce inductance.,future-design-review,phase-3b-audit,"board.distance(component, component)",TVS as close to connector as possible
EMC_ESD_004,EMC,Major,TVS diode must have low-impedance ground path,TVS diodes require a low-impedance path to ground to effectively shunt ESD currents. Multiple vias should connect the TVS ground pad to the ground plane.,partial,references/domains/external-interfaces.md,board.via_count(pad),"TVS GND >=2 vias, no thermal reliefs"
EMC_ESD_005,EMC,Minor,Avoid parallel routing near ESD-exposed traces,Board traces should not run parallel to traces that could be exposed to ESD events. Particularly avoid routing traces leading to ESD-sensitive devices parallel to ESD-exposed connector traces.,future-design-review,phase-3b-audit,"board.parallel_traces(net1, net2)",No sensitive signals parallel to ESD-exposed
EMC_ESD_006,EMC+HighSpeed,Major,Use low-capacitance TVS for high-speed data lines,"TVS diodes on high-speed data lines must have low capacitance to avoid signal distortion. High capacitance slows circuit response and degrades signal integrity on USB, Ethernet, HDMI, and similar interfaces.",uncovered-authorable,references/domains/external-interfaces.md,,Low-cap TVS <10pF for USB/Ethernet/DP - selection guidance
EMC_STITCH_002,EMC,Minor,Ground stitching via grid required for copper pours,"When filling top and bottom layers with ground copper pour, a grid of ground stitching vias should be added across the entire PCB. Otherwise, small isolated ground copper areas can act as radiating antennas.",future-design-review,references/domains/thermal-and-emc-workflow.md,board.pour_via_density(net),Copper-pour ground-stitching via grid across board (rule is qualitative); 10-20mm pitch is a JITX engineering default
AN_ADC_004,Analog+MixedSignal,Minor,ADC should be placed at analog/digital boundary,Discrete ADCs should be placed along the boundary between the analog and digital sections of the PCB. This is where analog signals interface with the digital world.,future-design-review,phase-3b-audit,board.placement_zone(component),ADC at analog/digital boundary
AN_ADC_005,Analog+MixedSignal,Major,Connect AGND and DGND at single point at ADC,"Analog ground and digital ground should be connected together at a single point, typically at or under the ADC. This prevents digital return currents from flowing through analog ground.",future-design-review,phase-3b-audit,board.ground_topology(),AGND/DGND star-ground at ADC
AN_ADC_006,Analog+MixedSignal,Major,Digital switching currents must not flow through ADC ground,Return currents from switching loads and digital circuits must not flow through the ADC or sensor section. The path from switching load grounds back to their voltage regulators should not cross the ADC area.,future-design-review,phase-3b-audit,board.return_path(net),Digital switching bypasses ADC ground
AN_ADC_007,Analog+MixedSignal,Major,High-resolution ADC designs should use 4+ layer stackup,High-performance data acquisition systems with precision ADCs should use four or more PCB layers. This provides dedicated ground reference planes essential for impedance control and noise isolation.,covered,jitx-substrate-modeler,,High-resolution ADC: min 4-layer
HS_XTAL_001,HighSpeed+Analog,Major,Crystal must be placed close to MCU oscillator pins,The crystal and its load capacitors must be placed as close as possible to the MCU/IC oscillator pins to minimize parasitic capacitance and interference. Trace length should be minimized.,future-design-review,phase-3b-audit,"board.distance(component, component)",Crystal within 10mm of MCU
HS_XTAL_002,HighSpeed+Analog,Minor,Avoid vias in crystal oscillator traces,Vias should be avoided in the traces connecting the crystal to the MCU oscillator pins. Vias add inductance and parasitic effects that can affect oscillator stability.,future-design-review,phase-3b-audit,board.via_count(net),Avoid vias on crystal traces; symmetric if needed
HS_XTAL_003,HighSpeed+EMC,Major,No routing under crystal on multi-layer PCBs,"Digital, RF, and high-speed signal lines should not be routed under the crystal on internal layers. Crosstalk from digital activity may disturb the oscillator.",future-design-review,phase-3b-audit,board.copper_under(component),No routing/pour under crystal
HS_XTAL_004,HighSpeed+EMC,Minor,Crystal oscillator return currents must be locally contained,"High-frequency return currents from the crystal oscillator circuit should be contained locally and not allowed to flow across the main ground plane, which could turn it into a radiating antenna.",future-design-review,phase-3b-audit,board.return_path(net),Crystal load-cap GND return to MCU GND
HS_XTAL_005,HighSpeed+Analog,Minor,Crystal load capacitors must be within 5mm with matched traces,Load capacitors (NP0/C0G dielectric) must be placed within 5mm of crystal pins with matched-length traces and grounded through low-inductance vias.,future-design-review,phase-3b-audit,"board.distance(component, component), board.trace_length_match",Load caps within 5mm; matched lengths ±1mil
HS_XTAL_006,HighSpeed,Advisory,Avoid right-angle bends in crystal traces,"Right-angle bends in crystal oscillator traces should be avoided. The 45-degree corner region increases capacitance, changing trace impedance and causing reflections.",future-design-review,phase-3b-audit,board.trace_corners(net),No 90° corners on crystal traces
THM_VIA_002,Thermal,Minor,Thermal via diameter should be 0.2-0.4mm,"Thermal vias should have a diameter between 0.2mm and 0.4mm. The optimal diameter for best thermal conductivity is 0.30mm. Use smaller vias for dense designs, larger for maximum heat dissipation.",covered,jitx-substrate-modeler,,Thermal via diameter 0.2-0.4mm - Via definition
THM_VIA_003,Thermal,Minor,Thermal via spacing should prevent solder wicking,Thermal vias should be spaced 0.8-1.2mm apart (center to center) to prevent solder wicking during assembly while maintaining adequate heat transfer.,future-design-review,phase-3b-audit,board.thermal_via_spacing(component),Thermal via spacing <2mm wicking
THM_VIA_004,Thermal,Minor,Thermal via density should be 8-12 vias per square centimeter,"A common guideline is to use 8-12 thermal vias per square centimeter under high-power components, though the specific requirement depends on heat load.",future-design-review,phase-3b-audit,board.thermal_via_density(component),Thermal via density 8-12/cm²
THM_PWR_002,Thermal,Major,Board area requirement for power dissipation,"To dissipate 1 watt of power, the PCB needs approximately 15.3 cm² (2.4 in²) for a 40°C temperature rise. With airflow, this requirement is halved to 7.7 cm² (1.2 in²) per watt.",uncovered-authorable,references/domains/thermal-and-emc-workflow.md,,Board copper area >= 15.3 cm²/W (7.7 cm²/W with airflow) for a 40°C rise - authoring-time copper-area budget
THM_VIA_005,Thermal,Minor,4-layer PCB provides 30% better thermal dissipation than 2-layer,Using a 4-layer PCB design instead of 2-layer can increase power dissipation capacity by up to 30% for the same board area due to additional copper planes for heat spreading.,covered,jitx-substrate-modeler,,4-layer thermal advantage - stackup choice
SCH_PULLUP_001,Analog,Major,Unused op-amp and comparator inputs must be tied properly,Unused op-amps should have their outputs tied to the negative input and positive input tied to ground. Unused comparators should have all pins tied to ground. Floating inputs can cause oscillation and excess power consumption.,covered,jitx/references/domain-checklists.md,,Unused op-amp/comparator inputs tied
SCH_FET_001,Power+MixedSignal,Major,FET gates must have defined state at startup,"MOSFET gates must have a resistor to ensure a defined off-state during startup, reset, or when the driving signal is high-impedance. This prevents uncontrolled switching.",uncovered-authorable,references/domains/code-hygiene.md,,FET gate defined at startup
SCH_UART_001,MixedSignal+DFT,Critical,UART TX/RX connections must be verified for proper crossover,UART connections require TX from one device to connect to RX of the other device. This crossover is a common source of errors in schematic review.,covered,jitx/references/domain-checklists.md,,"UART TX/RX crossover - in checklist. JITX note: verify the TX->RX crossover in the wiring code (net connections), not a schematic"
DFT_DRC_001,DFT,Critical,Run DRC to identify unconnected nets and schematic errors,"The schematic capture tool's Design Rule Check (DRC) feature must be run to identify unconnected nets, duplicate nets, missing power connections, and other common schematic errors.",covered,jitx,,"Schematic DRC - JITX type system + checklist. JITX note: there is no schematic-capture DRC tool; the equivalent is the JITX type system + completion-block grep gates + build, run against the code, not a schematic"
SCH_SYMBOL_001,DFT,Critical,Verify symbol pinouts against datasheet,"Schematic symbol pinouts must be verified against the manufacturer's datasheet, especially for new symbols and parts with multiple package options. Check for errata that may indicate pinout changes.",covered,jitx-component-modeler,,Symbol pinouts vs datasheet - datasheet authority + checklist. JITX note: the Symbol/pin definition lives in component code; verify it against the datasheet there
HS_ROUTE_001,HighSpeed,Minor,Serpentine routing for length matching,Serpentine routing is used to add length to a trace to match the length of other traces in a bus. The geometry of the serpentine routing should be carefully controlled to minimize signal integrity issues.,future-design-review,phase-3b-audit,board.serpentine_spacing(net),Serpentine 4W spacing
HS_MAT_001,HighSpeed,Major,Material selection for high-speed design,"For very high-speed designs (multi-gigabit), the choice of PCB material is critical. Standard FR-4 is lossy at high frequencies and can cause significant signal degradation.",covered,jitx-substrate-modeler,,Controlled-Dk PCB for >2 GHz - material selection
DFT_JTAG_001,DFT,Major,JTAG interface for testing and debugging,"If using ICs that support JTAG, the JTAG signals (TDI, TDO, TCK, TMS, and optionally TRST) should be connected to a standard JTAG header to allow for boundary scan testing and debugging.",uncovered-authorable,references/domains/dft.md,,JTAG/boundary-scan interface
MX_PWR_001,MixedSignal+Power,Major,Separate power supplies for mixed-signal design,Use separate power supplies for the analog and digital sections of the board to prevent digital switching noise from coupling into the analog power rails.,uncovered-authorable,references/domains/analog-mixed-signal.md,,Separate analog/digital supplies for mixed-signal
MX_ROUTE_001,MixedSignal,Minor,Routing techniques for mixed-signal design,"Digital and analog traces should be routed separately to minimize crosstalk. If they must cross, they should do so at a 90-degree angle.",future-design-review,phase-3b-audit,board.trace_crossings_angle(),"Digital/analog separation, 90° crossings"
DFM_TRACE_001,DFT,Major,Minimum trace width and spacing,Trace widths and spacing must meet the PCB manufacturer's minimum capabilities. Standard designs should use at least 6 mil (0.15mm) trace width and spacing. Tighter tolerances increase cost and reduce yield.,covered,jitx-substrate-modeler,,Min trace width >=6 mils - FabricationConstraints
DFM_VIA_001,DFT,Major,Via size and annular ring requirements,Vias must have adequate annular ring width to ensure reliable plating and electrical connection. Drill registration tolerance requires sufficient copper around the hole.,covered,jitx-substrate-modeler,,Via annular ring >=10 mils - Via definition
DFM_ACID_001,DFT,Minor,Acid trap prevention,"Acute angles in copper traces can trap etchant during PCB fabrication, causing over-etching and open circuits. Avoid angles less than 90 degrees in trace routing.",future-design-review,phase-3b-audit,board.acid_traps(),Acid traps at 45°/90° - DRC-style check
DFM_MASK_001,DFT,Major,Solder mask design rules,Solder mask openings and web widths must meet manufacturing minimums to prevent solder bridging and ensure proper mask adhesion.,partial,jitx-substrate-modeler,,Solder mask web >=4 mils - fab rule
DFM_SILK_001,DFT,Minor,Silkscreen clearance and legibility,Silkscreen must not overlap pads or vias and must meet minimum line width and font size requirements for legibility.,out-of-band,references/domains/dfm.md,,Silkscreen clearance/font - silkscreen content
DFM_PANEL_001,DFT,Major,PCB panelization requirements,"Panelized PCBs require proper V-score or breakaway tab design, adequate rails, and consideration for depaneling stress on components.",out-of-band,references/domains/dfm.md,,Panelization V-score clearance
DFM_FID_001,DFT,Major,Fiducial mark placement,"Fiducial marks are required for automated SMT assembly. They must be properly sized, placed, and have adequate clearance for machine vision recognition.",out-of-band,references/domains/dfm.md,,Panel fiducial geometry
DFM_EDGE_001,DFT,Minor,Copper to board edge clearance,Copper features must maintain adequate clearance from board edges to prevent exposure during routing and to allow for manufacturing tolerances.,partial,jitx-substrate-modeler,board.copper_to_edge(),Copper >=10 mils from edge - fab constraint partial
DFM_SLIVER_001,DFT,Minor,Copper and solder mask slivers,"Thin slivers of copper or solder mask can cause shorts, mask adhesion failures, or debris during manufacturing. Minimum feature sizes must be maintained.",future-design-review,phase-3b-audit,board.copper_slivers(),Copper slivers <6 mils removed
DFM_COMP_EDGE_001,DFT,Major,Component placement near board edges,"Components placed too close to board edges can be damaged during depaneling, interfere with pick-and-place machines, or be stressed by board handling. Adequate clearance must be maintained.",future-design-review,phase-3b-audit,board.component_to_edge(),Components >=100 mils from edge
SCH_NET_002,Schematic,Major,Single-pin nets must be flagged,Nets with only one pin indicate unconnected signals and must be flagged during ERC. These often represent missing connections or forgotten wiring.,covered,jitx,,No single-pin nets - JITX builds graph
SCH_NET_003,Schematic,Major,Net names must be consistent across schematic,"The same signal must have identical net names everywhere it appears. Inconsistent naming (case sensitivity, underscores, spaces) creates unintended separate nets.",covered,jitx,,"Net naming consistency - JITX self-attribute names. JITX note: net identity is the Python attribute name on `self`, not a schematic label - consistency is structural"
SCH_NET_004,Schematic,Critical,Avoid duplicate net names for different signals,"Different signals must not share the same net name. Common mistakes include using generic names like VCC for multiple different voltages (3V3, 5V, etc.).",covered,jitx,,No duplicate net names for different signals
SCH_POL_001,Schematic+Component,Critical,Polar capacitor polarity and voltage check,"Verify that polar capacitors (electrolytics, tantalums) have correct polarity in the schematic and that their voltage rating exceeds the applied voltage with adequate margin.",uncovered-authorable,references/domains/code-hygiene.md,,"Polar cap polarity/voltage >=1.5x. JITX note: polarity is set by the polarized-component definition in code; verify there, not on a schematic"
SCH_IC_001,Schematic,Major,Read IC datasheet in detail,"Every IC must be applied according to its datasheet requirements. Check reference designs, application notes, and errata for proper implementation.",covered,jitx,,IC datasheet review - mandatory in component-modeler + circuit-builder
SCH_FLOAT_001,Schematic,Major,Floating digital and ADC inputs must be tied,"Unused digital inputs and ADC inputs must be tied to a known voltage (ground, supply, or bias). Floating CMOS inputs oscillate, consuming excess power and generating noise.",covered,jitx/references/domain-checklists.md,,No floating CMOS inputs - in checklist
SCH_VAL_001,Schematic,Minor,Component value sanity check,"Review all component values for transcription errors. Common mistakes include confusing 10 with 10k, 100 with 100k, or using wrong multiplier prefixes.",partial,jitx-circuit-builder,,"Component value sanity - voltage_divider solver helps, broader gap"
SCH_DNP_001,Schematic,Major,Check mounted and not-mounted component property,Verify the DNP (Do Not Populate) status of all components. Ensure optional components are correctly marked and that required components are not accidentally marked DNP.,uncovered-authorable,references/domains/code-hygiene.md,,DNP status matches BOM/variant
SCH_OPT_001,Schematic,Advisory,Add experimental options for uncertain circuits,"When circuit behavior is uncertain, add options to experiment with different component values or configurations. Include footprints for series resistors, parallel capacitors, or alternate components.",uncovered-authorable,references/domains/code-hygiene.md,,Experimental DNP options - DNP/variant tracking
PWR_RELAY_001,Power,Major,Relay coils need clamping diodes,Relay and solenoid coils generate inductive voltage spikes when switched off. Flyback diodes are required to protect the driving transistor or IC from damage.,uncovered-authorable,references/domains/power.md,,"Relay flyback diode - schematic-level, easy to add as authoring check"
PWR_FUSE_001,Power,Major,Safety fuses for critical circuits,"Add fuses or resettable PTCs where overcurrent could cause component damage, fire hazard, or safety issues. Critical for battery-powered and high-current designs.",uncovered-authorable,references/domains/power.md,,Fuse rating protects wire/connector not just load
PWR_TRACE_002,Power,Major,Wide traces for power consumers,Route power traces first with adequate width for low impedance and current capacity. Power distribution should be planned before signal routing.,partial,jitx-substrate-modeler,"board.trace_width(net), board.trace_resistance(net)","Wide power traces sized for <=20mV drop - high-current net class exists, no I²R calc"
